# M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     (x=-1)    (x=1.35)    (x=3)
0.4000000  3.5610 -1.6217  4.8577 10.155  1.016  1.515  1.059  2.042  2.925  3.545  3.768  3.928  4.797  2.1596E+01  7.8554E+01  1.7143E+02
 0.4215961  3.5784 -1.5236  4.8520  9.642  0.974  1.413  0.930  1.790  2.646  3.223  3.432  3.606  4.421  4.3244E+01  1.4354E+02  2.9392E+02
 0.4432441  3.5958 -1.4252  4.8450  9.190  0.904  1.307  0.848  1.642  2.374  2.911  3.113  3.304  4.065  4.3312E+01  1.2781E+02  2.4092E+02
 0.4649085  3.6131 -1.3265  4.8362  8.790  0.811  1.217  0.754  1.471  2.201  2.713  2.900  3.080  3.793  4.3305E+01  1.1423E+02  1.9901E+02
 0.4865492  3.6305 -1.2278  4.8269  8.424  0.710  1.138  0.661  1.297  2.073  2.578  2.745  2.900  3.572  4.4942E+01  1.0631E+02  1.7157E+02
 0.5098507  3.6476 -1.1288  4.8166  8.090  0.637  1.074  0.601  1.175  1.966  2.481  2.633  2.777  3.432  4.9212E+01  1.0419E+02  1.5557E+02
 0.5357616  3.6643 -1.0298  4.8059  7.741  0.538  0.997  0.535  1.045  1.826  2.337  2.476  2.605  3.234  5.1536E+01  9.7434E+01  1.3436E+02
 0.5613865  3.6811 -0.9309  4.7945  7.398  0.396  0.906  0.479  0.940  1.665  2.154  2.281  2.392  2.986  5.1150E+01  8.6624E+01  1.1056E+02
 0.5869112  3.6978 -0.8314  4.7811  7.087  0.211  0.817  0.445  0.884  1.528  1.987  2.101  2.203  2.759  5.3804E+01  8.1845E+01  9.6882E+01
 0.6151908  3.7140 -0.7286  4.7635  6.805  0.055  0.730  0.424  0.848  1.439  1.884  1.987  2.081  2.618  3.3968E+01  4.7385E+01  5.2763E+01
 0.6208794  3.7168 -0.7094  4.7595  6.754  0.031  0.716  0.420  0.842  1.425  1.868  1.969  2.061  2.595  1.1449E+01  1.5290E+01  1.6509E+01
 0.6266401  3.7195 -0.6899  4.7548  6.702  0.009  0.702  0.417  0.836  1.410  1.850  1.949  2.040  2.570  1.1364E+01  1.4853E+01  1.5797E+01
 0.6322432  3.7223 -0.6708  4.7508  6.651 -0.012  0.688  0.413  0.830  1.393  1.829  1.927  2.016  2.541  1.1327E+01  1.4495E+01  1.5189E+01
 0.6379671  3.7250 -0.6513  4.7460  6.598 -0.032  0.675  0.409  0.823  1.377  1.808  1.904  1.992  2.511  1.1364E+01  1.4241E+01  1.4704E+01
 0.6436074  3.7278 -0.6320  4.7417  6.546 -0.051  0.662  0.405  0.816  1.360  1.785  1.879  1.966  2.479  1.1348E+01  1.3927E+01  1.4171E+01
 0.6493148  3.7305 -0.6123  4.7367  6.493 -0.069  0.649  0.401  0.810  1.343  1.762  1.854  1.939  2.446  1.1283E+01  1.3566E+01  1.3606E+01
 0.6548908  3.7333 -0.5931  4.7324  6.441 -0.086  0.637  0.397  0.803  1.325  1.738  1.828  1.912  2.411  1.1239E+01  1.3241E+01  1.3092E+01
 0.6605534  3.7360 -0.5735  4.7273  6.388 -0.102  0.624  0.393  0.795  1.308  1.715  1.803  1.885  2.376  1.1384E+01  1.3144E+01  1.2813E+01
 0.6662750  3.7387 -0.5536  4.7220  6.334 -0.118  0.612  0.388  0.788  1.292  1.692  1.777  1.859  2.342  1.1454E+01  1.2959E+01  1.2455E+01
 0.6720070  3.7414 -0.5336  4.7165  6.281 -0.133  0.600  0.384  0.780  1.275  1.669  1.753  1.832  2.308  1.1399E+01  1.2641E+01  1.1979E+01
 0.6776737  3.7441 -0.5137  4.7110  6.227 -0.150  0.588  0.378  0.770  1.258  1.646  1.727  1.804  2.273  1.1352E+01  1.2342E+01  1.1535E+01
 0.6833591  3.7468 -0.4937  4.7055  6.173 -0.166  0.576  0.373  0.761  1.240  1.622  1.700  1.776  2.235  1.1408E+01  1.2162E+01  1.1210E+01
 0.6890820  3.7496 -0.4735  4.7001  6.119 -0.182  0.564  0.367  0.750  1.221  1.598  1.672  1.746  2.196  1.1401E+01  1.1920E+01  1.0837E+01
 0.6947605  3.7522 -0.4531  4.6937  6.064 -0.195  0.553  0.361  0.739  1.204  1.575  1.646  1.719  2.161  1.1437E+01  1.1727E+01  1.0518E+01
 0.7005187  3.7549 -0.4327  4.6876  6.010 -0.207  0.542  0.355  0.728  1.188  1.553  1.622  1.692  2.126  1.2822E+01  1.2881E+01  1.1389E+01
 0.7075822  3.7573 -0.4103  4.6792  5.951 -0.215  0.533  0.350  0.718  1.174  1.535  1.601  1.670  2.097  1.4137E+01  1.3887E+01  1.2086E+01
 0.7146560  3.7596 -0.3877  4.6701  5.892 -0.222  0.524  0.346  0.709  1.162  1.519  1.583  1.650  2.072  1.3963E+01  1.3402E+01  1.1475E+01
 0.7215457  3.7620 -0.3654  4.6616  5.834 -0.228  0.516  0.341  0.700  1.150  1.504  1.567  1.632  2.049  1.3991E+01  1.3124E+01  1.1058E+01
